,simbolo,tipo,sub_tipo,descricao,dividend_yield,patrimonio_liquido,liquidez_diaria_media,ultimo_rendimento,valor_patrimonial,rentabilidade_mes,p_vp,cotas_emitidas,numero_cotistas,min_semanas,max_semanas,valorizacao
63,CJCT11,Tijolo,Lajes Corporativas,,1.96,207400000.0,"46,8K",1.06,66.05,0.01,,3140000,1085,60.0,73.0,6.05
64,CNES11,Tijolo,Lajes Corporativas,,4.86,264300000.0,"8,0K",0.25,89.6,-0.44,,2949248,1675,22.12,32.98,30.23
65,COPP11,Sem categoria,Lajes Corporativas,,0.73,174500000.0,"1,8M",0.98,104.91,3.0,,1663087,15,100.0,103.0,3.0
66,CPFF11,Papel,Fundo de Fundos,,8.81,210300000.0,"460,8K",0.94,82.37,0.14,,2553074,9698,56.6,79.49,17.45
67,CPSH11,Sem categoria,Indefinido,,5.44,378100000.0,"2,4M",0.98,113.2,-0.26,,3340000,390,104.93,119.99,4.83
68,CPTR11,Fiagro,Indefinido,,16.38,404800000.0,"1,3M",0.95,9.78,2.77,,41380060,28155,8.75,99.75,90.52
69,CPTS11,Papel,Papéis,,10.17,2900000000.0,"6,1M",0.95,9.04,0.58,,317828140,295246,7.49,9.04,5.37
70,CRAA11,Fiagro,Indefinido,,13.66,50200000.0,"145,7K",0.99,101.4,-0.85,,494836,1787,99.0,104.74,2.93
71,CRFF11,Papel,Fundo de Fundos,,9.68,61100000.0,"116,9K",0.87,88.58,1.68,,690040,1483,59.88,83.4,19.75
72,CVBI11,Papel,Papéis,,12.18,1100000000.0,"2,4M",0.98,95.9,1.48,,11010228,88084,84.59,96.74,3.55
73,CXAG11,Tijolo,Agências de Bancos,,10.79,241800000.0,"171,1K",0.71,115.65,2.62,,2090621,12103,74.92,88.84,7.1
74,CXCE11B,Tijolo,Lajes Corporativas,,10.9,110100000.0,"21,5K",0.7,64.3,2.06,,1712950,3650,38.4,45.04,9.46
75,CXCI11,Fundo Misto,Indefinido,,11.68,192800000.0,"175,5K",0.92,93.69,-0.51,,2057726,5341,74.77,91.8,12.13
76,CXCO11,Tijolo,Lajes Corporativas,,11.61,389700000.0,"160,7K",0.82,99.31,2.3,,3924500,14148,66.14,85.6,12.21
77,CXRI11,Papel,Fundo de Fundos,,8.74,141400000.0,"26,3K",0.88,89.72,0.61,,1575760,2252,59.59,84.88,27.76
78,CXTL11,Tijolo,Imóveis Industriais e Logísticos,,8.8,22300000.0,"13,3K",0.57,416.57,-4.54,,53597,708,226.0,417.0,33.7
79,CYCR11,Fundo Misto,Indefinido,,12.79,159500000.0,"387,7K",0.98,9.77,-1.87,,16315840,14056,7.88,9.78,10.04
80,DAMT11B,Tijolo,Shoppings,,7.93,96100000.0,"16,5K",0.94,13.15,-8.87,,7305341,570,11.8,21.77,33.48
81,DEVA11,Papel,Papéis,,17.98,1400000000.0,"1,6M",0.43,98.18,-4.51,,14044908,125985,39.24,89.86,53.4
82,DOVL11B,Tijolo,Lajes Corporativas,,8.49,79000000.0,"33,6K",1.01,1189.96,,,66406,60,1199.95,1730.0,30.6
